Event title,Event type
Vectorworks Workflow Seminar - Reflected Ceiling Plans: -   Free for a limi...,Seminars
Braceworks Essentials Seminar -   Free for a limited time!!!,Seminars
Modeling the Sources and the Topics of Pliny’s Natural History,Webinars
Night Sky TONIGHT,Webinars
Online Data Science Ethics Book Club #11 - Data and Social Change Movements,Webinars
Landscape Resilience Lessons from the Facebook Bayfront Campus,"Trainings,Workshops"
"Ferment TV | 09. Technology, Power & the People",Webinars
MD-Washington Regional Movement Disorders Video Meeting: Summer 2020,Webinars
MyXR.Social - Virtual Event Series,"Seminars,Courses"
2020 Livestock Advisor Update ,Webinars
Virtual Lunch & Learn: Valuation of Life Science Companies,Webinars
Victorias Diadromous Fish and the Effects of River Flow on Migration,Webinars
Discuss Design Systems,discuss
"Data Science in the News- Going for Gold: Data, data science & elite sports",Webinars
Beyond the Future of Work,Webinars
Talk: Our Election Security - How Bad Is It?,Webinars
The New Economics and Efficiencies of Gene Therapy,Webinars
ODSC West 2020 Virtual  Career Expo || Open Data Science Conference,"Courses,Expos"
Webinar: Physics of Failure vs Standards Based Qualification,Webinars
Get Connected: Web tools for graphic design,Webinars
NAHSE Atlantas 3rd Annual HOT TOPICS EVENT,Webinars
The YBP Virtual Tech Summit: Powered by Salesforce,"Seminars,Expos,Talks"
"LJC Virtual Meetup: Functional Programming in Java, Groovy, and Kotlin",Webinars
NextDor Devs Lightning Talks,"Talks,Seminars"
Project Sharing Essentials -   Free for a limited time!!!,Webinars
INFO SESSION: Code Like a Girls Online Courses,Courses
"Prof. West on Wants, needs, habits? How motivation drives our behaviour",Webinars
A Closer Look at.... Parkinsons Disease,Webinars
Webinar Power Your Digital Transformation for Government,Webinars
Supply Chain Data Analytics Workshop,Workshops
Building Empathy through Virtual Reality with Wesley Della Volla,Webinars
Thinkful Webinar | Data Science: Tools Of The Trade,Webinars
Entrepreneur First London Virtual Open Office,Webinars
Passing the ISO 9001 Audit in the 2020s,Webinars
Lunch N’Discuss: Where Managed Services Meets DevOps,discuss
Fast Radio Bursts – An Evolving Cosmic Mystery,Webinars
Cisco Meraki Public Sector Webinar Series,"Seminars,Courses"
"Seafood Supply Chains, Food Security, & Coalition Building Webinar",Webinars
Tech Talent Vancouver Virtual Job Fair,"Jobs,Expos,Fests,Internships"
Thinkful Webinar | Learn Web Development With Thinkful,Webinars
Virtual Flatiron School AMA with the Chicago Team: Panel | Chicago,Webinars
GlycoNet Workshop: A workshop for scientific writers (August 5),Workshops
Android Weekly Series Part 4,"Seminars,Courses"
FREE Virtual Microsoft Summer Camp for Children Ages 6+,"Trainings,Workshops"
Python: Text Analysis with NLTK,Webinars
Intro to R pt. 1: Working with R and RStudio,Webinars
Startup Boost Vancouver Launch Event,Webinars
Introduction to R - Part 2,Webinars
Science on Tap: Maskerade,Webinars
Predicting Human Health Effects from Environmental Exposures,Webinars
Real World Applications of OLED Technology Online Event,Webinars
Webinar: Global Electric Power Sector: Engaging with Environmental Issues,Webinars
Lessons from a Pandemic: Solutions for Addressing the Climate Change Crisis,Webinars
Virtual Inspire in 5,Webinars
Who were the Neanderthals?,Webinars
The End of the Universe,Webinars
Center Stage Seminar Series,Seminars
Mars University Summit 2020,"Seminars,Expos,Talks"
Virtual Curious Kids: What on Earth?  Earth Science,Webinars
Cloud Ascent Webinar,Webinars
Applied AI: From Academia to Industry Online Event,Webinars
NPower 2020 Summer Kick Off: Jumpstart Your Career In IT From Home!,"Expos,Jobs"
Thinkful Webinar || What is UX/UI Design?,Webinars
How to Run a Remote Design Sprint,Webinars
This Too Shall Pass: Creativity in the Time of COVID-19,Webinars
The Hustle Awards,Webinars
"""Whats in a brand?""",Webinars
Operationalizing AI in Health Virtual Speaker Series - Session III,"Seminars,Courses"
Hands-On UX Workshop: Redesign a Grocery Website in 2 Hours,Workshops
Make It Happen,Webinars
AI for Everyone (26 September 2020),Webinars
Asteroid Bennu Science Cafe,Webinars
Learn Python Online Free - Python Fundamentals Live,Webinars
Brandwood CKC Virtual-Innovation Accelerator (Webinar July 29),Webinars
DataWomen and data friends - Thriving in Data,Webinars
Seattle Women in Tech Regatta 2020,Webinars
Thinkful Webinar | Intro to UX/UI Design: User Research,Webinars
AAPS LBDDS Community_ July Webinar,Webinars
U.S. SBA International Technology Forum: Canada,Internships
Intro To Python Webinar,Webinars
Webinar Data Science Learning Path,Webinars
accuRx Webinar: Accessible Design and Digital Inclusion in Healthcare,Webinars
Central Valley Salmon: Reintroduction as a recovery tool.,Webinars
AEC Tech Academy (virtual),Webinars
Thinkful Webinar | Build a Web App with JavaScript & jQuery,Webinars
Intro to Data Science - Computer Vision: Workshop | Online,Workshops
Thinkful Speaker Series || Student Success Story: Allyson Short,"Seminars,Courses"
How MemSQL is helping Flatten the Curve?,Webinars
2020 Florida Data Science for Social Good - The Big Reveal,Webinars
WebinarAzure Fundamentals (AZ-900) Free Training,"Trainings,Courses"
Careers in Health Economics and Outcomes Research Virtual Seminar Series,"Seminars,Jobs"
SEAM Seminar Series,Seminars
#BlackInSTEM Panel @ UMass Amherst,Webinars
ReDI Munich: Student Info Session Aututmn Semester 2020 #2,Webinars
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,Webinars
EAMT2020,Webinars
Thinkful Webinar | Intro to Data Science: Predictive Modeling,Webinars
Gambling Journal Club August 2020 Meeting,Webinars
Thinkful Webinar | What is UX/UI Design?,Webinars
Techweek2020 webinar: Will machines replace humans in the future of work?,Webinars
Mocha Mixer  - A Virtual Networking event for Blacks in Tech,Webinars
The Graduate College Lunch-n-Learn Series,"Seminars,Courses"
Save the Trees Please: Best Practices for Development Plan Review Process,Webinars
Online Info Session | LSU Cyber Bootcamp,"Trainings,Workshops"
New to Z Virtual Social Hours,Webinars
Intro to ArcGIS Online & Mapping COVID19,Webinars
LGBTQ+ in Tech Summit presented by Accenture,"Seminars,Expos,Talks"
Week 14:  Pivoting: Drones and Robotics,Webinars
ASBMB Education Symposium - Teaching Remotely: Sharing Practice,Webinars
The New Normal Virtual Series,"Seminars,Courses"
At Home with Inala - Blueprints of nature,Webinars
Pub-less quiz,Webinars
MONTHLY BUZZ | DIGITAL HEALTH 2.0: Founder Stories,Webinars
Women in STEAM,Webinars
Wikipedia Edit-a-thon,Webinars
AMA: The Evolution of Events: 2020 & Beyond,Webinars
Agile Coach Camp Worldwide Home Edition,"Trainings,Workshops"
Implementing qRAM in Q#,Webinars
AI for Managers - 3 x 2hr Sessions,Webinars
R: Webscraping in rvest,Webinars
Free Subsurface Spatial Continuity,Webinars
Women in Data Science - San Diego (Online),Webinars
Shaders Workshop - Code Art Together,Workshops
Watch Party: MARS Perseverance  Rover Launch! Replay,Webinars
Science in Action : Heating Things Up - #LiveStream,Webinars
Virtual Planetarium: The Sky Tonight - #livestream,Webinars
"Leadership Live w/ Katie Diasti, Founder & CEO of Viv for your V",Webinars
2020 CIE/USA-DFW  Fall Symposium Day 1: Technical Seminar,Seminars
Next Steps in Python Lunch Lessons #10,Webinars
Next Steps in Python Lunch Lessons #9,Webinars
Real Artificial Intelligence 2020,Webinars
Tasting Wine Through Data,Webinars
"""Reading the human skeleton"" - Dr Heidi Dawson-Hobbis",Webinars
WEBINAR What Our Online Classroom is REALLY like!,Webinars
Tech Wednesdays with NPower Canada,Webinars
Machine Learning para Educadores Livestream,Webinars
Intro to R pt. 4: Putting the R in aRt,Webinars
Ask a Scientist: Awesome Amphibians - #LiveStream,Webinars
EAGE London: Value of Information – Capital Efficiency,Webinars
Common Lizard Talk,Webinars
I COMEBM -  Abertura - Mesa Redonda - Desafios  pós Carolina Bori,Webinars
Wolverhampton LOC Glaucoma Part 1,Webinars
Webinar Building Data Science Portfolio,Webinars
Funded: A Product Journey from Idea to App Store,Webinars
"Advanced Qualitative Data Analysis with NVIVO - July 30, 2020",Webinars
Thinkful Webinar | Product Management Vs. UX/UI Design,Webinars
Thinkful Webinar | Learn Data Science With Thinkful,Webinars
Thinkful Webinar | Intro to HTML & CSS: Build Your Own Website,Webinars
"apidays LIVE HELSINKI -   APIS, PLATFORMS, AND ECOSYSTEMS",Webinars
Are You Ready for the $50B 8(a) STARS III GWAC?  Join Us: Ask Me Anything!,Webinars
Cybersecurity awareness for the future workshop,Workshops
M365 Saturday Gurgaon 2020,Webinars
Virtual Cybersecurity 101: Info Session | Online,Webinars
Intro to Python,Webinars
Codeup Virtual Info Session,Webinars
Introduction to R for Data Analysis,Webinars
Technology Blooms in Business Operations; a Case Study in RFP Automation,Webinars
Washington DC Bluebeam User Group (DCBUG) Launch Meeting,Webinars
Fish farming - can it be sustainable?,Webinars
Impacts of Permafrost Degradation Webinar with Dr. Kimberley R. Miner,Webinars
Virtual RustConf 2020,"Seminars,Talks"
FREE Online Coding Workshop,Workshops
Managing Software Teams in Seattle (Topic: Engineering Leadership),Webinars
Shape & Symmetry: Maths Art Workshop (18+),Workshops
Thinkful Webinar | Learn Data Analytics With Thinkful,Webinars
Thinkful Webinar | Free Crash Course: JavaScript Fundamentals,Courses
Thinkful Webinar | Learn Product Management With Thinkful,Webinars
Berkeley Lab Live Science - Science in the Sky,Webinars
Thinkful Webinar | Learn Data Analytics With Thinkful,Webinars
Thinkful Webinar | Free Crash Course: Natural Language Processing,Courses
Thinkful Webinar | Learn Data Analytics With Thinkful,Webinars
Thinkful Webinar | Intro To Data Analytics: Tableau Basics,Webinars
Thinkful Webinar | Intro to Data Science: The Art of Visualizations,Webinars
Great Alberta Pitch Marathon,"Hackathons,Competitions"
SubVersions Series #6: Tech & Activism,"Seminars,Courses"
Virtual Computer Science Classes (Milpitas CoderDojo),Webinars
"Codeup Virtual ""How To Build Your Career In Tech"" Panel","Expos,Jobs"
Free Subsurface Neural Networks,Webinars
SubVersions Series #2: Rural Innovation,"Seminars,Courses"
SubVersions Series #5: Venture Capitalism & Social Impact Projects,"Seminars,Courses"
Webinar: Microsoft TEAMS for Collaboration,Webinars
What is FTUX and why does it matter?,Webinars
#exatours: Apollo. 29Jul20,Webinars
National Bushfire and Climate Summit 2020: Recommendations and Wrap Up,"Seminars,Expos,Talks"
Getting started with PCSE Online,Webinars
Cloud Experience Data Platform,Webinars
Pepsi presents: Kids Virtual Summer Camp,"Trainings,Workshops"
August Pain2020 Workshop,Workshops
Practical Machine Learning for Healthcare,Webinars
AI LA Happy Hour Tuesdays,Webinars
"Analogia - The Entangled Destinies of Nature, Human Beings and Machines",Webinars
*Virtual Event* QB3 Seminar: Ryan Cirz,Seminars
Data and AI User Group Meeting - Aug2020 -SQL Server Performance Tuning,Webinars
Webinar Getting Started Python and Data Science,Webinars
"Data Analyst Career Pathing, Networking, Interviews, and Tips and Tricks","Expos,Jobs"
Indonesian C/C++ Warriors First Online Meetup,Webinars
GlycoNet Webinar Series ft. Dr. David Kwan & Shermaine Sy (July 29),"Seminars,Courses"
A Deeper Dive: Privacy in the Digital Age,Webinars
Hands-On UX Workshop: Redesign a Dog Adoption App in Just 2 Hours,Workshops
Tools of the Trade: Lab Basics Monthly Series,"Seminars,Courses"
Thinking Beyond the Lab in Cancer Therapeutic Development - TMC ACT,Webinars
Virtual Bioenergy Symposium - August 5,Webinars
Intro to R pt. 2: Demystifying Data Types,Webinars
Intro to R pt. 3: Into the Tidyverse!,Webinars
Accidental Discoveries: In the Kitchen,Webinars
BioHackathon Europe 2020,"Hackathons,Competitions"
Week 2 Black Girls Code: Microsoft Small Basic {{BEGINNER}},Webinars
Webinar: Get Connected: Creating photobooks,Webinars
LACI Power Day 2020,Webinars
The View from Hawk Mountain: 85 Years of Conserving Raptors,Webinars
Thinkful Webinar | Data Science vs. Data Analytics,Webinars
ResTech Seminar: VirMAP pipeline for processing metagenomic sequencing data,Seminars
Intro to UX/UI: Learn to use Adobe XD Free with Wyncodes Head Instructor,Webinars
AccelHUB Venture Partners - LATAM Online Pitch Night,Webinars
Wolverhampton LOC Glaucoma Part 2,Webinars
"""Agility in Times of Disruption"" - WE KC 2020 Three-Part Virtual Conference","Seminars,Talks"
Coding For Beginners: Workshop | Online,Workshops
Coronary CTO PCI: Still the last frontier?,Webinars
FREE: Data Science for Executives: Becoming a Data-Driven Organization,Webinars
Virtual user group: AWS Platform for .NET Developers,Webinars
Coding Bootcamp Taster Evening,"Trainings,Workshops"
2020 HaBS Virtual 3MT Faculty Final,Webinars
Webinar Big Data for Data Scientists: Intro to AWS and Spark,Webinars
Pycon Africa,Webinars
LJC Secure Code Warrior  Tournament,Webinars
Coding 101 Workshop (Live Online),Workshops
Google Cloud Platform Certification Training | Instructor LED Training|,"Certifications,Training"
Thinkful Webinar | Learn Data Analytics With Thinkful,Webinars
Web Design III: Advanced HTML and CSS,Webinars
Webinar Building Data Science Portfolio,Webinars
Custom Theme Development | WordPress & Shopify Course Info Session,Courses
Quarantine Book Club with Pat Blashill,Webinars
Monitoring Air Pollution – Online STEM Workshop,Workshops
Web Design V: JavaScript for Beginners,Webinars
Web Design IV: Multipage Websites,Webinars
TechCon SoCal Webinar: Investing and fundraising in the current environment,Webinars
UR Roundtable | Success In Your Urology Application,Webinars
Data Vault: Core Concepts,Webinars
Exploring Habitable Worlds – Online STEM Workshop,Workshops
Encryption & Secure Video Conferencing - What you need to know now,"Seminars,Talks"
Drone Futures Seminar 1: Ronak K. Kapadia,Seminars
Thinkful Webinar | Level Up Your Career With Data Analytics,"Expos,Jobs"
On the Nature of Consciousness,Webinars
Play to Your Strengths - BCSWomen in Scotland,Webinars
Netherlands Power BI Days 2020-10-08,Webinars
Improvings vLnL with Devlin Liles:  We may be looking at this wrong,Webinars
Symbols and Smart Layout,Webinars
"2020 Connected Marae Hui - Session One, Setting the Scene",Webinars
2020 Black Girls CODE Virtual Summer Camp: Smartbuddies 1PM-3PM EDT,"Trainings,Workshops"
Coding and Cocktails,Webinars
SubVersions Series #8: Tech4Good and Nutrition,"Seminars,Courses"
"Machine Learning with TensorFlow on Google Cloud Platform, Virtual CST",Webinars
"Machine Learning with TensorFlow on Google Cloud Platform, Virtual CEST",Webinars
GRDC FBU South- Priority skills development,Webinars
Virtual Resume Workshop,Workshops
The Babylon Project by World Blockchain Hackathon,"Hackathons,Competitions"
Web Design II: CSS for Beginners,Webinars
Workshop: Introduction to Hacking,Workshops
Virtual Urban Tech 2.0 Orientation,Webinars
Connecting to go faster,Webinars
Out in Tech Denver | Game Jam!,Webinars
Thinkful Webinar | Intro to UX/UI Design: User Research,Webinars
Black Girls CODE Virtual Summer Camp: Game Design 1PM-3PM EST,"Trainings,Workshops"
Open-Source Data and Hot Spot Analysis Using ArcGIS Pro,Webinars
Conserving Endangered Species – Online STEM Workshop,Workshops
Thinkful Webinar | Product Management Vs. UX/UI Design,Webinars
"MN VR and HCI July 2020: Metaverses, Eye Tracking Wheelchair",Webinars
3D Cell culture educational webinar,Webinars
"Mapping XY, Geocoding, Creating XY Table Using ArcGIS Pro",Webinars
Quarantine Book Club with Alex Hillman,Webinars
Webinar Panel Discussion | Data Science Career,"Workshops,Seminars"
Global Microsoft 365 Charity Quiz - Team Canada,Webinars
Jumpstarting with SwiftUI,Webinars
MultiCloud Mixology: Crafting Your Solution for Today’s Environment,Webinars
Monitoring Air Pollution – Individual Online STEM Workshop,Workshops
Web Design VI: Adding JavaScript to Web Pages,Webinars
How to manage a testing project in Agile,Webinars
Python Certification Training | Instructor LED & Pure Hands-on Training|,"Certifications,Training"
Docker & Kubernetes Online Training | Instructor LED Training| Weekday,"Trainings,Courses"
Scenario Planning-  Industry Transformation Post COVID19,Webinars
